"","STP","Raw","Final","rm_eff","type"
"1","Kinoya",41.3353103174603,23.6175547619048,0.4286348746261,"N"
"2","Kinoya",4.55998303030303,3.01861813131313,0.33801987611508,"P"
"3","Ba",22.9649333333333,10.4981333333333,0.542862451157417,"N"
"4","Ba",3.26347936507937,2.1322126984127,0.34664434491963,"P"
"5","Lautoka",32.3315380952381,18.2717642857143,0.434862510039217,"N"
"6","Lautoka",3.48603333333333,2.25293571428571,0.353725137180067,"P"
"7","Naboro",24.8325,11.6764583333333,0.529791268163361,"N"
"8","Naboro",2.73099116161616,1.70475378787879,0.375774696074103,"P"
"9","Nadali",29.3494285714286,17.1539523809524,0.415526869996658,"N"
"10","Nadali",3.41200740740741,2.18612154882155,0.359285813953534,"P"
"11","Namara",27.3488523809524,14.4352119047619,0.472182170436681,"N"
"12","Namara",3.33953246753247,2.42173506493506,0.274828111875058,"P"
"13","Navakai",38.5944444444444,22.8244444444444,0.408608032244134,"N"
"14","Navakai",2.85277777777778,1.99277777777778,0.301460564751704,"P"
"15","Olosara",31.9102857142857,14.6546952380952,0.540753242722156,"N"
"16","Olosara",3.7326582972583,1.45829696969697,0.609314099078366,"P"
"17","Wailada",24.8109444444444,10.8948333333333,0.560885988934095,"N"
"18","Wailada",2.56833796296296,1.38376388888889,0.461222039761267,"P"
"19","Deuba",20.5212111111111,12.5491333333333,0.388479887206137,"N"
"20","Deuba",2.9987,2.31998333333333,0.226336968241794,"P"
"21","ACS",20.0584476190476,11.3102285714286,0.436136395685561,"N"
"22","ACS",3.67885,2.327,0.367465376408389,"P"
