"","Country","Suva","Nadi","Lautoka","Coral Coast","Mamanuca","Northern Division","Others"
"1","Australia",0.0563029376859423,0.385233941896571,0.0305433174554145,0.311094763538229,0.194985449756954,0.011416657183268,0.0104229324836208
"2","Canada",0.191728958353558,0.310746529463159,0.0876613920978546,0.103970488302107,0.238520531987186,0.0284438404038443,0.038928259392292
"3","Cont. Europe",0.0940398657983027,0.311747582395895,0.0787694888494178,0.0845174659561871,0.352131438721137,0.0596013420169726,0.019192816262088
"4","New Zealand",0.0733460445711373,0.412839923355012,0.0431930377655909,0.186458756123576,0.269050338389511,0.0089151713657344,0.00619672842943847
"5","Others",0.143455234037517,0.509275696786792,0.0500226837879953,0.195529321261613,0.0865485137187605,0.0107747992977888,0.00439375110953311
"6","USA",0.114016117282826,0.369286104534693,0.0470656528865416,0.0762156255691131,0.236842105263158,0.0996858495720269,0.0568885448916409
