"","improved","urban","rural","national","urban_est","rural_est","nation_est"
"1","Sewer",35.4,1.4,20.7,29.1215331995898,0,17.2638685039928
"2","Septic",58.9,68.1,62.8,58.9994852026935,68.0981833725228,62.7503310183182
"3","Other",5.4,27.2,14.8,5.39925003350449,27.1986052362501,14.3858125855699
"4","Total",99.6,96.7,98.4,93.5202684357878,95.2967886087729,94.4000121078809
