"","Name","ID","Area","Hotel_Name","Total_rooms","Num_persons","TIKINA","ADM1_NAME","area","Area.1"
"136","Qamea Beach Club Resort, Qamea Is;",14,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Qamea Beach Club Resort, Qamea Is;",12,26,"Wainikeli","Northern  Division",185578353.222719,"Northern Division"
"157","Maravu Taveuni Lodge",NA,NA,NA,NA,NA,"Wainikeli","Northern  Division",185578353.222719,"Northern Division"
"166","Sea Winds Villa",NA,NA,NA,NA,NA,"Wainimala","Central Division",444346103.139234,"Others"
"60","Blue Lagoon Beach Resort, Ltd, Nacula Island, Yasawa",72,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Blue Lagoon  Beach Resort, Ltd, Nacula Island, Yasawa",24,74,"Yasawa","Western Division",75359186.1740382,"Others"
"64","Coconut Beach Resort PTE Ltd, Tavewa Is; Yasawa",76,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Coconut Beach Resort PTE Ltd, Tavewa Is; Yasawa",6,20,"Yasawa","Western Division",75359186.1740382,"Others"
"65","Coralview Island Resort, Tavewa Is; Yasawa",77,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Coralview Island Resort, Tavewa Is; Yasawa",18,70,"Yasawa","Western Division",75359186.1740382,"Others"
"68","Goldcoast Inn, Nanuyalailai Is; Yasawa",80,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Goldcoast Inn, Nanuyalailai Is; Yasawa",7,12,"Yasawa","Western Division",75359186.1740382,"Others"
"79","Nabua Lodge, Naisisili, Nacula Is; Yasawa",93,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Nabua Lodge, Naisisili, Nacula Is; Yasawa",13,80,"Yasawa","Western Division",75359186.1740382,"Others"
"83","Natabe Retreat, Tavewa Island, Yasawa",97,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Natabe Retreat, Tavewa Island, Yasawa",3,6,"Yasawa","Western Division",75359186.1740382,"Others"
"86","Oarsman’s Bay Lodge, Nalova Bay, Nacula Is; Yasawa",100,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Oarsman’s Bay Lodge, Nalova Bay, Nacula Is; Yasawa",11,35,"Yasawa","Western Division",75359186.1740382,"Others"
"91","Safe Landing Resort, Naisisili, Nacula Island,Yasawa",105,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Safe Landing Resort, Naisisili, Nacula Island,Yasawa",12,40,"Yasawa","Western Division",75359186.1740382,"Others"
"95","The Bay of Plenty, Matacawalevu, Yasawa",110,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","The Bay of Plenty, Matacawalevu, Yasawa",8,25,"Yasawa","Western Division",75359186.1740382,"Others"
"98","Turtle Island Resort, Nanuya-Levu, Yasawa",115,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Turtle Island Resort, Nanuya-Levu, Yasawa",15,30,"Yasawa","Western Division",75359186.1740382,"Others"
"104","Yasawa Island Resort, Yasawa ",122,"MAMANUCA IS/LAUTOKA / YASAWA/ISLANDS OFF LAUTOKA (Group 7)","Yasawa Island Resort, Yasawa ",18,38,"Yasawa","Western Division",75359186.1740382,"Others"
"264","Sunrise Lagoon Homestay",NA,NA,NA,NA,NA,"Yasawa","Western Division",75359186.1740382,"Others"
"265","Vunidaka Homestay",NA,NA,NA,NA,NA,"Yasawa","Western Division",75359186.1740382,"Others"
"266","Gold Coast Inn Fiji",NA,NA,NA,NA,NA,"Yasawa","Western Division",75359186.1740382,"Others"
